"","Group.1","Group.2","x"
"1","Africa",1995,73.8900356268092
"2","Asia",1995,67.2629851012579
"3","Australia/South Pacific",1995,61.1994974874372
"4","Europe",1995,51.5399973361747
"5","Middle East",1995,71.6126513840831
"6","North America",1995,55.5820092268533
"7","South/Central America & Carribean",1995,70.6428080308031
"8","Africa",1996,73.5547023197349
"9","Asia",1996,67.8696775822881
"10","Australia/South Pacific",1996,60.9569735642662
"11","Europe",1996,50.1384353287012
"12","Middle East",1996,72.4977720651243
"13","North America",1996,54.1230179192987
"14","South/Central America & Carribean",1996,70.9975541494281
"15","Africa",1997,73.441141512938
"16","Asia",1997,68.3483674693633
"17","Australia/South Pacific",1997,61.5770319634703
"18","Europe",1997,51.4402232813214
"19","Middle East",1997,71.0814572333685
"20","North America",1997,54.7625916363868
"21","South/Central America & Carribean",1997,72.1691455696203
"22","Africa",1998,73.7488082901554
"23","Asia",1998,69.0629198966408
"24","Australia/South Pacific",1998,62.0313492063492
"25","Europe",1998,51.866760748277
"26","Middle East",1998,73.7063733905579
"27","North America",1998,57.4993493913661
"28","South/Central America & Carribean",1998,72.146053794671
"29","Africa",1999,73.8942222767419
"30","Asia",1999,68.0291779431664
"31","Australia/South Pacific",1999,62.0950549450549
"32","Europe",1999,52.2509550818176
"33","Middle East",1999,73.707731629393
"34","North America",1999,56.5694121395571
"35","South/Central America & Carribean",1999,71.1615967780147
"36","Africa",2000,73.4177453814252
"37","Asia",2000,67.7188610284743
"38","Australia/South Pacific",2000,61.8579498861048
"39","Europe",2000,53.0212567438908
"40","Middle East",2000,72.4944713054446
"41","North America",2000,55.5191780171048
"42","South/Central America & Carribean",2000,71.3273837209302
"43","Africa",2001,74.2966935292723
"44","Asia",2001,67.7372648454114
"45","Australia/South Pacific",2001,61.8235455794778
"46","Europe",2001,51.9818356006898
"47","Middle East",2001,74.1556542332741
"48","North America",2001,56.3118442779119
"49","South/Central America & Carribean",2001,71.9822288465948
"50","Africa",2002,74.2887890721142
"51","Asia",2002,68.0593221736621
"52","Australia/South Pacific",2002,62.1722454672245
"53","Europe",2002,52.5116184448463
"54","Middle East",2002,73.6357909379968
"55","North America",2002,55.9636912719249
"56","South/Central America & Carribean",2002,72.6081426414218
"57","Africa",2003,74.7835057896034
"58","Asia",2003,67.9122232063773
"59","Australia/South Pacific",2003,61.8751612903226
"60","Europe",2003,52.207324736532
"61","Middle East",2003,73.6742201294879
"62","North America",2003,55.5915355052704
"63","South/Central America & Carribean",2003,72.1595078299776
"64","Africa",2004,74.6394580072421
"65","Asia",2004,68.3144787957268
"66","Australia/South Pacific",2004,61.8565118397086
"67","Europe",2004,51.7908439965524
"68","Middle East",2004,73.4699724517906
